Sample_ID,Grade,Prep_of_Mining__Electricity_kWh,Prep_of_Mining__Carbon_kgCO2e,Prep_of_Mining__NaturalGas_Nm3,Prep_of_Mining__WasteWater_L,Prep_of_Mining__LiquidFuel_L,Prep_of_Mining__Fluorine_g,Prep_of_Mining__SO2_g,Actual_Mining__Electricity_kWh,Actual_Mining__Carbon_kgCO2e,Actual_Mining__NaturalGas_Nm3,Actual_Mining__WasteWater_L,Actual_Mining__LiquidFuel_L,Actual_Mining__Fluorine_g,Actual_Mining__SO2_g,electricity_kwh,Grinding__Carbon_kgCO2e,Grinding__NaturalGas_Nm3,Grinding__WasteWater_L,Grinding__LiquidFuel_L,Grinding__Fluorine_g,Grinding__SO2_g,Pressure_Digestion__Electricity_kWh,Pressure_Digestion__Carbon_kgCO2e,Pressure_Digestion__NaturalGas_Nm3,Pressure_Digestion__WasteWater_L,Pressure_Digestion__LiquidFuel_L,Pressure_Digestion__Fluorine_g,Pressure_Digestion__SO2_g,Clarification__Electricity_kWh,Clarification__Carbon_kgCO2e,Clarification__NaturalGas_Nm3,Clarification__WasteWater_L,Clarification__LiquidFuel_L,Clarification__Fluorine_g,Clarification__SO2_g,Precipitation__Electricity_kWh,Precipitation__Carbon_kgCO2e,Precipitation__NaturalGas_Nm3,Precipitation__WasteWater_L,Precipitation__LiquidFuel_L,Precipitation__Fluorine_g,Precipitation__SO2_g,Seed_Separation__Electricity_kWh,Seed_Separation__Carbon_kgCO2e,Seed_Separation__NaturalGas_Nm3,Seed_Separation__WasteWater_L,Seed_Separation__LiquidFuel_L,Seed_Separation__Fluorine_g,Seed_Separation__SO2_g,Washing_Filtering_1__Electricity_kWh,Washing_Filtering_1__Carbon_kgCO2e,Washing_Filtering_1__NaturalGas_Nm3,Washing_Filtering_1__WasteWater_L,Washing_Filtering_1__LiquidFuel_L,Washing_Filtering_1__Fluorine_g,Washing_Filtering_1__SO2_g,Washing_Filtering_2__Electricity_kWh,Washing_Filtering_2__Carbon_kgCO2e,Washing_Filtering_2__NaturalGas_Nm3,Washing_Filtering_2__WasteWater_L,Washing_Filtering_2__LiquidFuel_L,Washing_Filtering_2__Fluorine_g,Washing_Filtering_2__SO2_g,Calcination__Electricity_kWh,Calcination__Carbon_kgCO2e,Calcination__NaturalGas_Nm3,Calcination__WasteWater_L,Calcination__LiquidFuel_L,Calcination__Fluorine_g,Calcination__SO2_g,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,Total__LiquidFuel_L,flourine_g,so2_g
L-001,Low,0.026921578,0.014111622,0.00178627,0.200614741,0.006248866,0.000358755,0.002841113,0.074534474,0.04656328,0.005622753,0.520550833,0.01448302,0.000902675,0.007153449,0.199523485,0.125918077,0.008478819,0.798465149,0.011134552,0.00136533,0.010710035,0.421064863,0.261247488,0.03407879,1.837281898,0.020978591,0.002084969,0.010947575,0.156035717,0.100857726,0.00614141,1.063271531,0.007041843,0.000632573,0.005681299,0.166295621,0.07551648,0.00555612,0.640848009,0.004013853,0.001075502,0.004125107,0.087780911,0.042455119,0.003592631,0.489899495,0.002552203,0.000506637,0.003093048,0.1030143,0.070855699,0.002622238,0.876835641,0.003652291,0.000412142,0.003132508,0.073364137,0.044114063,0.00193574,0.570533013,0.002639564,0.00028354,0.002259804,0.599947913,0.380272683,0.047599318,0.330720889,0.025127459,0.001893798,0.013039692,1.908482998,1.161912237,0.117414088,7.329021199,0.097872242,0.009515921,0.06298363
L-002,Low,0.027683134,0.015075824,0.00153439,0.221090282,0.00625919,0.000370284,0.002694967,0.077944932,0.044185949,0.00504334,0.522417364,0.015725737,0.000802965,0.006485268,0.199525023,0.104110334,0.00858333,0.736172133,0.010238426,0.001443552,0.009033426,0.532679808,0.243794807,0.036875703,1.781489043,0.017914497,0.002432631,0.011846142,0.159408768,0.088749545,0.006693775,1.095004294,0.006849557,0.000665622,0.005329291,0.148789177,0.073322492,0.005886902,0.636410451,0.00435675,0.000949079,0.004299294,0.092930443,0.044393609,0.003656187,0.494306964,0.002867416,0.000496778,0.003197105,0.117674679,0.064248607,0.002397656,0.78831587,0.003558694,0.00044688,0.003079767,0.074922577,0.046161072,0.001723349,0.594592232,0.002367437,0.000268436,0.002480092,0.599195512,0.363633086,0.052868958,0.324247967,0.024393464,0.001636271,0.016769839,2.030754052,1.087675325,0.12526359,7.1940466,0.094531168,0.009512499,0.06521519
L-003,Low,0.01966835,0.016603613,0.001704137,0.179654272,0.006080844,0.000351485,0.002656754,0.055196974,0.04662308,0.004832866,0.534860618,0.015210305,0.000797091,0.00711887,0.198416516,0.104398904,0.009204732,0.803226036,0.009581176,0.00132108,0.009530724,0.474064489,0.282584268,0.030766473,1.610393965,0.02023199,0.00231489,0.01180384,0.183098633,0.098869909,0.00656649,1.085643235,0.006718687,0.000709144,0.005597747,0.156907213,0.092164014,0.005542425,0.742479344,0.004031442,0.001042772,0.004141684,0.08940418,0.044453587,0.003410388,0.534871125,0.002176077,0.000586824,0.003331647,0.096068127,0.067044195,0.002556055,0.811255367,0.003821237,0.000429652,0.003645503,0.077190687,0.043872502,0.001914302,0.486867533,0.002403598,0.000273256,0.002517428,0.559351393,0.327698518,0.051567856,0.346788904,0.02819692,0.001546667,0.016554344,1.909366561,1.124312591,0.118065722,7.1360404,0.098452275,0.009372861,0.066898541
L-004,Low,0.029786204,0.015716836,0.001544183,0.198105383,0.005955916,0.00035361,0.002442928,0.075508499,0.039136899,0.004470234,0.550073984,0.012116353,0.000837681,0.008305216,0.203825561,0.112660081,0.008465361,0.846934172,0.010316343,0.001423948,0.008660186,0.533032374,0.276733647,0.035754481,1.624182367,0.022263196,0.002002769,0.012134504,0.15873741,0.09162088,0.007132266,1.070196826,0.006387774,0.000648947,0.005353091,0.146166762,0.084289952,0.005956348,0.660859195,0.003806088,0.001044353,0.004027601,0.091377335,0.050867421,0.003573607,0.575893936,0.002534957,0.000533496,0.003258926,0.131736069,0.075637559,0.002552151,0.83839726,0.003914541,0.000403738,0.003403565,0.079441585,0.044446158,0.001722087,0.511777104,0.002089748,0.00027656,0.00253292,0.585460794,0.412142949,0.048451119,0.314539434,0.02537828,0.001690031,0.016136417,2.035072592,1.203252383,0.119621837,7.190959663,0.094763194,0.009215133,0.066255356
L-005,Low,0.02409693,0.017718725,0.001937407,0.203433038,0.00647794,0.000314496,0.002744669,0.073056251,0.045105422,0.005094365,0.403026646,0.01379162,0.000812226,0.006327699,0.205770568,0.11875904,0.008002347,0.786101411,0.009681825,0.001468292,0.008911179,0.458597131,0.263180256,0.03481833,1.755069313,0.015990119,0.002187974,0.013113587,0.157324248,0.091793329,0.006582618,1.045687705,0.006908112,0.000586022,0.004695198,0.169720299,0.079398192,0.006475286,0.784300194,0.003704053,0.001066011,0.004214494,0.082251256,0.048427857,0.003514577,0.5356219,0.002763323,0.000524779,0.003067922,0.108426846,0.080153811,0.002681169,0.953267029,0.003923701,0.000415005,0.003646398,0.074605731,0.038746422,0.001702178,0.590761094,0.002278673,0.000279956,0.002523902,0.55657055,0.362016104,0.047314142,0.320152922,0.023168791,0.001591316,0.016841955,1.91041981,1.145299158,0.118122419,7.377421252,0.088688157,0.009246075,0.066087002
L-006,Low,0.023842529,0.016295004,0.001639304,0.221074694,0.006503901,0.000360859,0.002605426,0.066884445,0.038903518,0.005803752,0.48249224,0.015130868,0.000913945,0.006531911,0.219034573,0.129041318,0.009542826,0.821674941,0.009268777,0.00131119,0.009488647,0.477967357,0.264401927,0.029391197,1.756787298,0.023256744,0.002107242,0.012414659,0.176909415,0.101379565,0.007249808,1.136019042,0.006649039,0.00064157,0.005009847,0.156412389,0.083092439,0.006082792,0.78885244,0.004501412,0.0011129,0.004273539,0.077107568,0.046433686,0.003410637,0.443526813,0.002801418,0.000515156,0.003492059,0.123078057,0.063333729,0.00265393,0.809634912,0.00352334,0.000385631,0.00399218,0.072805794,0.046395059,0.001473687,0.589575877,0.002557803,0.000273882,0.002341651,0.611898,0.434776547,0.04461532,0.358878141,0.023849517,0.001697596,0.015030728,2.005940128,1.224052793,0.111863253,7.408516398,0.098042818,0.009319969,0.065180646
L-007,Low,0.02472453,0.016138,0.001563106,0.218906649,0.005192064,0.00035303,0.002490881,0.062346775,0.043110692,0.004536228,0.511438037,0.012990199,0.000877838,0.00635372,0.197467803,0.124954538,0.008033771,0.846501873,0.009103684,0.001420917,0.010521638,0.570365491,0.273760639,0.035902725,1.485078481,0.02257656,0.002152429,0.011491125,0.184932772,0.096818515,0.006578865,1.142292402,0.006286612,0.000729324,0.004717626,0.141593255,0.079510022,0.006270851,0.731499846,0.003843242,0.000976137,0.004240331,0.077872831,0.043707779,0.003909667,0.478838927,0.002491513,0.000496702,0.003298284,0.117149772,0.070763193,0.002494607,0.744363394,0.003893032,0.000405238,0.004008585,0.062874142,0.044813214,0.001931576,0.530355526,0.002341896,0.000277707,0.002285575,0.581816521,0.365029658,0.04872811,0.369664597,0.026334782,0.001730251,0.016178351,2.021143892,1.15860625,0.119949505,7.058939733,0.095053586,0.009419573,0.065586115
L-008,Low,0.025021384,0.015262259,0.001627263,0.204025826,0.005502536,0.000327924,0.002456557,0.078257357,0.034130013,0.00503496,0.572487372,0.014575006,0.000895469,0.006848196,0.194334343,0.102916854,0.008623993,0.803192141,0.009620397,0.001311818,0.010508326,0.55727389,0.27619472,0.032878052,1.557908771,0.021078634,0.002298236,0.011691022,0.141285518,0.10329075,0.007275751,0.98058248,0.006885207,0.000701785,0.005073528,0.144409856,0.091131181,0.005779592,0.684332114,0.003631571,0.001111311,0.004436078,0.08553092,0.046112048,0.0032723,0.471047576,0.002471885,0.000433232,0.003222314,0.10972301,0.069170888,0.002542771,0.862054666,0.003911965,0.000438653,0.00368926,0.074863,0.041122091,0.001789311,0.608878563,0.002437809,0.000309026,0.002122209,0.546242368,0.396709021,0.051956995,0.371714702,0.025471989,0.001595235,0.015067974,1.956941645,1.176039825,0.120780988,7.116224211,0.095586999,0.009422688,0.065115465
L-009,Low,0.022725076,0.014855902,0.001817374,0.216641453,0.006103351,0.000298453,0.002485111,0.062085701,0.046050189,0.004888634,0.470685075,0.014480569,0.000811367,0.007516352,0.193356999,0.110240147,0.007200717,0.848142035,0.00979305,0.001222025,0.010139468,0.498550217,0.271455056,0.037293484,1.779968099,0.019208176,0.001889479,0.012591113,0.174784149,0.099788336,0.006391311,1.152696526,0.006435245,0.000675076,0.005623938,0.145821358,0.07550701,0.005505351,0.819005341,0.004326865,0.001010667,0.004096381,0.087929147,0.044730365,0.003473788,0.483521272,0.002387479,0.000486917,0.003309377,0.111811012,0.067408361,0.001882221,0.769207957,0.003470749,0.000451599,0.003296252,0.07566458,0.048891704,0.001541525,0.559216899,0.002244432,0.000262255,0.00224429,0.564082688,0.446277655,0.054057775,0.366595952,0.026390754,0.001506125,0.015729043,1.936810926,1.225204725,0.124052179,7.46568061,0.09484067,0.008613962,0.067031324
L-010,Low,0.027442539,0.015171449,0.001816515,0.214201606,0.006732394,0.000329915,0.002351278,0.066254059,0.046831835,0.004437934,0.435104115,0.014541715,0.00082329,0.006803731,0.217691896,0.117597951,0.007369641,0.973384462,0.009477807,0.001257739,0.010082705,0.463005806,0.270775815,0.035165455,1.830788481,0.019917016,0.00226015,0.010095463,0.179170632,0.092722803,0.007462533,1.1161441,0.006475121,0.000712002,0.005423424,0.159972896,0.078785783,0.005745527,0.764778784,0.00423755,0.001074297,0.003642004,0.087017664,0.046619979,0.003197586,0.483114554,0.002511158,0.000379605,0.003230709,0.105223084,0.06880797,0.002404159,0.803537167,0.003960921,0.000436804,0.003798699,0.072145277,0.045904144,0.001671769,0.536426096,0.002449229,0.000260471,0.002632288,0.588235302,0.390419946,0.056270729,0.364904122,0.022949152,0.001753699,0.016224136,1.966159155,1.173637678,0.125541848,7.522383486,0.093252063,0.009287971,0.064284434
